flat_type,year,month_num,prev_month_resale_price
3,2015,11,435728.006779661
3,2015,12,431975.0348983364
3,2016,1,427381.6771799629
3,2016,2,430824.5020242915
3,2016,3,433884.2900302115
3,2016,4,434598.592020202
3,2016,5,435842.1275
3,2016,6,433536.48918918916
3,2016,7,440083.1154446178
3,2016,8,432736.6274007682
3,2016,9,430891.3826979472
3,2016,10,434282.6112716763
3,2016,11,437892.15765765763
3,2016,12,440917.14973262034
3,2017,1,430048.488
3,2017,2,436638.2604651163
3,2017,3,445131.25157232705
3,2017,4,434027.8269651741
3,2017,5,437961.7127272727
3,2017,6,440003.7327001357
3,2017,7,431166.5955497382
3,2017,8,441433.516372796
3,2017,9,441969.3516042781
3,2017,10,435108.2814614344
3,2017,11,436362.03393939394
3,2017,12,431907.61741835147
3,2018,1,435242.2365339578
3,2018,2,429115.25506072876
3,2018,3,447265.1769331586
3,2018,4,436535.16757493187
3,2018,5,432613.43021582736
3,2018,6,435820.92041078303
3,2018,7,433046.08928571426
3,2018,8,429949.86771428573
3,2018,9,429208.16651629074
3,2018,10,423777.97976190475
3,2018,11,425143.15113350126
3,2018,12,423191.8190954774
3,2019,1,427311.92615384614
3,2019,2,422785.1270718232
3,2019,3,431136.7460770328
3,2019,4,426521.21256038646
3,2019,5,428633.5317919075
3,2019,6,428662.97597977245
3,2019,7,430253.1603773585
3,2019,8,428830.7647761194
3,2019,9,432160.66203059803
3,2019,10,429985.3811111111
3,2019,11,434781.61547911545
3,2019,12,433873.908496732
3,2020,1,424613.08252427186
3,2020,2,434621.3695652174
3,2020,3,432760.8208588957
3,2020,4,433700.183908046
3,2020,5,440978.6046511628
3,2020,6,439662.54977596743
3,2020,7,438091.854822335
3,2020,8,443731.2308829569
3,2020,9,453976.7229601518
3,2020,10,471107.9126984127
3,2020,11,466569.8353909465
3,2020,12,473414.476861167
3,2021,1,475041.0113575526
3,2021,2,482038.62827822124
3,2021,3,491918.03204524034
3,2021,4,491067.20271580986
3,2021,5,512513.4742388759
3,2021,6,502629.8030456853
3,2021,7,502122.98178506375
3,2021,8,511214.7610544218
3,2021,9,516782.7576601671
3,2021,10,523982.5163528246
3,2021,11,521572.21369102685
3,2021,12,526789.3044719315
3,2022,1,524633.4985337243
3,2022,2,528808.2788697788
3,2022,3,536413.6327196653
3,2022,4,542321.1232826748
3,2022,5,550603.0525164114
3,2022,6,554670.2721164614
3,2022,7,554254.9757575757
3,2022,8,548009.3571428572
3,2022,9,560052.2846371348
3,2022,10,567841.9356796116
3,2022,11,560446.4777777778
3,2022,12,561699.2763819095
3,2023,1,571123.1794785847
3,2023,2,563444.6467532468
3,2023,3,579546.702811245
3,2023,4,575834.1584431138
3,2023,5,582004.5206692914
3,2023,6,581584.5424528302
3,2023,7,582174.8841059603
3,2023,8,597690.4625468164
3,2023,9,589684.6356321839
3,2023,10,592461.4274353876
3,2023,11,593081.6613418531
3,2023,12,597880.107888631
3,2024,1,597705.0897325281
3,2024,2,599263.957691454
3,2024,3,610396.3784722222
3,2024,4,605042.9411196911
3,2024,5,613105.3066666666
3,2024,6,635019.6467391305
3,2024,7,638906.3087693441
3,2024,8,628938.1326923077
3,2024,9,649463.964362851
3,2024,10,652479.7841163311
3,2024,11,640760.9608972846
3,2024,12,663099.7570977918
3,2025,1,659287.2749490835
4,2015,1,528312.6318900343
4,2015,2,520260.99253731343
4,2015,3,515139.6862745098
4,2015,4,508907.1384615385
4,2015,5,508616.47683923703
4,2015,6,517156.76115485566
4,2015,7,507105.51832460734
4,2015,8,521477.590778098
4,2015,9,507377.68715083797
4,2015,10,510222.5561357702
4,2015,11,514161.63473053894
4,2015,12,526163.6169590644
4,2016,1,516562.4788732394
4,2016,2,519630.15172413795
4,2016,3,524682.8659793815
4,2016,4,522802.5750577367
4,2016,5,520003.1847575058
4,2016,6,522007.43707093823
4,2016,7,528660.076056338
4,2016,8,517793.2424942263
4,2016,9,540475.4174757282
4,2016,10,520756.0
4,2016,11,525899.8583695652
4,2016,12,510150.14005730656
4,2017,1,516695.73046875
4,2017,2,534626.3503649635
4,2017,3,530016.0242825607
4,2017,4,530356.0628169014
4,2017,5,538648.6639344263
4,2017,6,532256.1787439614
4,2017,7,528686.3062200957
4,2017,8,526492.557956778
4,2017,9,536816.6790697675
4,2017,10,534216.2870813397
4,2017,11,537688.7105498982
4,2017,12,534890.7529411765
4,2018,1,530526.2424242424
4,2018,2,536829.8741258741
4,2018,3,542922.8490945674
4,2018,4,540202.0579399142
4,2018,5,531282.974025974
4,2018,6,528931.372659176
4,2018,7,520925.6637037037
4,2018,8,532431.9466666667
4,2018,9,512316.04809619236
4,2018,10,523914.13223140495
4,2018,11,512021.35440180585
4,2018,12,525205.0539772727
4,2019,1,520331.9344262295
4,2019,2,536127.9871794871
4,2019,3,531678.6633416458
4,2019,4,529688.9568965518
4,2019,5,526988.9703557312
4,2019,6,523114.5169491525
4,2019,7,523038.6690647482
4,2019,8,527792.528761062
4,2019,9,531628.0043572985
4,2019,10,526215.9158878505
4,2019,11,525195.1139112051
4,2019,12,523007.42923433875
4,2020,1,521696.09168443497
4,2020,2,537080.1425061425
4,2020,3,531733.3446088795
4,2020,4,533638.3086725664
4,2020,5,536873.1320754717
4,2020,6,525217.4370748299
4,2020,7,533112.4856093489
4,2020,8,525510.6814580031
4,2020,9,547415.4027993779
4,2020,10,555117.8421875
4,2020,11,559472.3883495146
4,2020,12,567170.1822094691
4,2021,1,581612.846390169
4,2021,2,592404.0323101777
4,2021,3,586000.0869565217
4,2021,4,592815.7527910686
4,2021,5,598035.3320610687
4,2021,6,599300.5906902087
4,2021,7,607082.3853459973
4,2021,8,609235.526737968
4,2021,9,609337.0164179105
4,2021,10,610105.7908689249
4,2021,11,629032.7459618208
4,2021,12,627970.6025641026
4,2022,1,624385.4301587301
4,2022,2,641850.0
4,2022,3,636806.0105376344
4,2022,4,639612.9090909091
4,2022,5,651145.0548066298
4,2022,6,657768.1458333334
4,2022,7,664664.4574829933
4,2022,8,661793.9583333334
4,2022,9,667790.8534107402
4,2022,10,677722.8971992111
4,2022,11,668721.1024096386
4,2022,12,661897.5607346939
4,2023,1,672377.170443686
4,2023,2,664756.6568627451
4,2023,3,679322.464609375
4,2023,4,690173.0141700405
4,2023,5,681087.574906367
4,2023,6,686299.6879271071
4,2023,7,684850.8096192385
4,2023,8,690446.5529197081
4,2023,9,694947.4943310658
4,2023,10,690817.6499570815
4,2023,11,691424.9327548807
4,2023,12,698992.1846153847
4,2024,1,712134.7067545304
4,2024,2,691992.7195121951
4,2024,3,706353.1113320079
4,2024,4,710615.2639405205
4,2024,5,718075.631294964
4,2024,6,743970.6836935167
4,2024,7,728212.7559595959
4,2024,8,734079.6477272727
4,2024,9,742839.6615969582
4,2024,10,745098.6475303643
4,2024,11,757284.5747368421
4,2024,12,760427.8272138229
4,2025,1,750993.9247311827
5,2016,3,688000.0
5,2016,5,818000.0
5,2016,9,650000.0
5,2016,12,735000.0
5,2017,9,700000.0
5,2017,11,802500.0
5,2017,12,830000.0
5,2018,4,728888.0
5,2018,5,850000.0
5,2018,6,765000.0
5,2018,7,770000.0
5,2018,8,803000.0
5,2018,9,802500.0
5,2018,10,824333.3333333334
5,2018,11,750000.0
5,2019,2,840000.0
5,2019,4,740000.0
5,2019,5,784000.0
5,2019,6,826296.0
5,2019,7,806333.3333333334
5,2019,8,764444.0
5,2019,10,905000.0
5,2019,11,988888.0
5,2020,7,775000.0
5,2020,8,725000.0
5,2020,9,742500.0
5,2020,10,823333.3333333334
5,2020,11,730000.0
5,2021,1,860000.0
